karmn,Name,adopted_vsini_kms-1,adopted_err_kms-1,vsini_oc_kms-1,err_oc_kms-1,vsini_ni_kms-1,err_ni_kms-1,vsini_literature_kms-1,err_literature_kms-1,ref_literature,equatorial_velocity_kms-1,err_eq_velocity_kms-1
J14294+155,Ross 130,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.58,0.01
J14307-086,BD-07 3856,< 2,-,2,-,2,-,0.6,1.5,Rein18,-,-
J14310-122,Wolf 1478,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J14321+081,LP 560-035,8.3800015156076,0.537132037786554,8.3800015156076,0.537132037786554,8.3989942873336,0.530390278108873,6.8,1.5,Rein18,9.44,0.51
J14342-125,HN Lib,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.16,0
J14524+123,G 66-37,< 2,-,2,-,2,-,1.6,0.16,Rein18,0.97,0.01
J14544+355,Ross 1041,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J14578+566,GJ 1187,9.13165476781357,0.28418250399504,9.13165476781357,0.28418250399504,9.15042026751422,0.279642975602767,13.6,0.1,Jen09,8.56,0.29
J15013+055,G 15-2,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J15095+031,Ross 1047,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J15100+193,G 136-072,< 2,-,2,-,2,-,3,0.3,Jeff18,0.18,0.01
J15194-077,HO Lib,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.12,0
J15218+209,OT Ser,4.63979888549386,0.513499199475488,4.63979888549386,0.513499199475488,4.65150801067729,0.52251651745088,4.1,1.5,Rein18,7.84,1.69
J15238+174,Ross 508,< 2,-,2,-,2,-,3.1,0.5,Jen09,-,-
J15305+094,NLTT 40406,15.8244382939455,0.646035906333079,15.8244382939455,0.646035906333079,15.8236594957075,0.642119506757223,13.4,1.6,Rein18,21.5,0.23
J15369-141,Ross 802,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J15412+759,UU UMi,< 2,-,2,-,2,-,3,0.3,Jeff18,0.21,0.01
J15474-108,LP 743-031,2.62772230638292,0.412596731925477,2.62772230638292,0.412596731925477,2.61413111953044,0.451693814550964,3,0.3,Jeff18,0.56,0.01
J15499+796,LP 022-420,26.455444571792,0.76819713068415,26.455444571792,0.76819713068415,26.3630547669627,0.762108082685675,31,2.7,Rein18,79.65,0.98
J15583+354,G 180-018,< 2,-,2,-,2,-,1.6,0.16,Jeff18,0.26,0
J15598-082,BD-07 4156,< 2,-,2,-,2,-,0.8,0.08,Rein18,1.2,0.01
J16028+205,GJ 609,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J16092+093,G 137-084,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.4,0
J16167+672N,EW Dra,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.56,0.01
J16167+672S,HD 147379,< 2,-,2,-,2,-,1.7,1.5,Rein18,1.46,0.02
J16254+543,GJ 625,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.2,0
J16303-126,V2306 Oph,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.13,0
